start,length,bound,cost,expended,algorithm
"(8, 3, 11, 13, 9, 7, 14, 5, 12, 2, 1, 4, 10, 6, 15)",15,50,50,742,DFBnB
"(8, 3, 11, 13, 9, 7, 14, 5, 12, 2, 1, 4, 10, 6, 15)",15,40,40,1224,DFBnB
"(8, 3, 11, 13, 9, 7, 14, 5, 12, 2, 1, 4, 10, 6, 15)",15,30,30,2787,DFBnB
"(1, 3, 14, 7, 15, 9, 13, 2, 10, 4, 5, 6, 11, 8, 12)",15,0,14,34230,IDA*
"(1, 3, 14, 7, 15, 9, 13, 2, 10, 4, 5, 6, 11, 8, 12)",15,70,70,9940,DFBnB
"(1, 3, 14, 7, 15, 9, 13, 2, 10, 4, 5, 6, 11, 8, 12)",15,60,60,41381,DFBnB
"(1, 3, 14, 7, 15, 9, 13, 2, 10, 4, 5, 6, 11, 8, 12)",15,50,50,9226,DFBnB
"(1, 3, 14, 7, 15, 9, 13, 2, 10, 4, 5, 6, 11, 8, 12)",15,40,40,19583,DFBnB
"(1, 3, 14, 7, 15, 9, 13, 2, 10, 4, 5, 6, 11, 8, 12)",15,30,30,37900,DFBnB
"(2, 4, 5, 7, 6, 10, 8, 3, 14, 11, 15, 12, 1, 13, 9)",15,0,13,8156,IDA*
"(2, 4, 5, 7, 6, 10, 8, 3, 14, 11, 15, 12, 1, 13, 9)",15,70,70,20263,DFBnB
"(2, 4, 5, 7, 6, 10, 8, 3, 14, 11, 15, 12, 1, 13, 9)",15,60,60,22469,DFBnB
"(2, 4, 5, 7, 6, 10, 8, 3, 14, 11, 15, 12, 1, 13, 9)",15,50,50,1358,DFBnB
"(2, 4, 5, 7, 6, 10, 8, 3, 14, 11, 15, 12, 1, 13, 9)",15,40,40,4003,DFBnB
"(2, 4, 5, 7, 6, 10, 8, 3, 14, 11, 15, 12, 1, 13, 9)",15,30,30,5722,DFBnB
"(5, 10, 11, 8, 12, 2, 9, 7, 1, 15, 13, 14, 4, 6, 3)",15,0,14,72907,IDA*
"(5, 10, 11, 8, 12, 2, 9, 7, 1, 15, 13, 14, 4, 6, 3)",15,70,70,29315,DFBnB
"(5, 10, 11, 8, 12, 2, 9, 7, 1, 15, 13, 14, 4, 6, 3)",15,60,60,23149,DFBnB
"(5, 10, 11, 8, 12, 2, 9, 7, 1, 15, 13, 14, 4, 6, 3)",15,50,50,15959,DFBnB
"(5, 10, 11, 8, 12, 2, 9, 7, 1, 15, 13, 14, 4, 6, 3)",15,40,40,10210,DFBnB
"(5, 10, 11, 8, 12, 2, 9, 7, 1, 15, 13, 14, 4, 6, 3)",15,30,30,26409,DFBnB
"(2, 12, 5, 14, 6, 15, 11, 8, 10, 3, 7, 9, 13, 1, 4)",15,0,15,63192,IDA*
